ID, Actual class, Resub pred, Pred Prob
-----------------------------
1, 1, 1, 0.078
2, 1, 1, 0.001
3, 1, 1, 0.0
4, 1, 2, 0.52
5, 1, 2, 0.963
6, 1, 1, 0.0
7, 1, 1, 0.074
8, 1, 1, 0.036
9, 1, 1, 0.0
10, 1, 1, 0.007
11, 1, 1, 0.042
12, 1, 1, 0.0
13, 1, 1, 0.1
14, 1, 1, 0.0
15, 2, 2, 0.697
16, 2, 1, 0.179
17, 2, 2, 0.657
18, 2, 2, 0.991
19, 2, 2, 1.0
20, 2, 2, 0.997
21, 2, 2, 0.958
22, 2, 2, 0.998
23, 2, 2, 0.74
24, 2, 2, 0.931
25, 2, 2, 1.0
26, 2, 2, 0.97
27, 2, 2, 0.999
28, 2, 2, 0.99
29, 2, 2, 1.0
30, 2, 2, 0.705
31, 2, 2, 0.909
32, 1, 2, 0.954
33, 1, 1, 0.194
34, 1, 1, 0.0
35, 1, 1, 0.012
36, 1, 1, 0.002
37, 1, 1, 0.267
38, 1, 1, 0.024
39, 1, 1, 0.001
40, 1, 1, 0.0
41, 1, 1, 0.402
42, 1, 1, 0.009
43, 1, 1, 0.0
44, 1, 2, 0.97
45, 1, 1, 0.051
46, 2, 2, 0.985
47, 2, 2, 0.996
48, 2, 2, 0.998
49, 2, 2, 0.992
50, 2, 2, 0.993
51, 2, 2, 0.997
52, 2, 2, 0.993
53, 2, 2, 0.585
54, 2, 2, 0.987
55, 2, 2, 0.992
56, 2, 2, 0.55
57, 2, 2, 1.0
58, 2, 2, 0.999
59, 2, 2, 1.0
60, 2, 2, 0.848
61, 2, 2, 1.0
62, 2, 2, 0.975
63, 1, 2, 0.952
64, 1, 1, 0.002
65, 1, 1, 0.001
66, 1, 2, 0.88
67, 1, 1, 0.0
68, 1, 1, 0.001
69, 1, 1, 0.006
70, 1, 1, 0.016
71, 1, 1, 0.324
72, 1, 1, 0.191
73, 1, 1, 0.01
74, 1, 1, 0.316
75, 1, 2, 0.997
76, 1, 1, 0.061
77, 2, 2, 0.975
78, 2, 2, 0.98
79, 2, 2, 0.996
80, 2, 1, 0.001
81, 2, 2, 0.54
82, 2, 2, 0.913
83, 2, 2, 1.0
84, 2, 1, 0.398
85, 2, 2, 0.995
86, 2, 1, 0.394
87, 2, 2, 0.787
88, 2, 2, 0.999
89, 2, 2, 1.0
90, 2, 2, 0.837
91, 2, 2, 0.96
92, 2, 2, 1.0
93, 2, 2, 1.0
94, 1, 2, 0.93
95, 1, 1, 0.0
96, 1, 1, 0.001
97, 1, 1, 0.204
98, 1, 1, 0.445
99, 1, 1, 0.0
100, 1, 1, 0.0
101, 1, 1, 0.012
102, 1, 1, 0.002
103, 1, 2, 0.982
104, 1, 2, 0.896
105, 1, 2, 0.603
106, 1, 1, 0.002
107, 1, 1, 0.042
108, 2, 2, 0.967
109, 2, 2, 1.0
110, 2, 2, 0.999
111, 2, 1, 0.275
112, 2, 1, 0.014
113, 2, 2, 0.979
114, 2, 2, 0.995
115, 2, 2, 0.999
116, 2, 2, 0.946
117, 2, 2, 0.999
118, 2, 2, 0.994
119, 2, 2, 0.99
120, 2, 2, 0.994
121, 2, 2, 1.0
122, 2, 2, 0.999
123, 2, 2, 0.999
124, 2, 2, 1.0
125, 1, 2, 0.97
126, 1, 1, 0.0
127, 1, 1, 0.009
128, 1, 1, 0.0
129, 1, 2, 0.902
130, 1, 1, 0.001
131, 1, 2, 0.999
132, 1, 2, 0.912
133, 1, 1, 0.015
134, 1, 1, 0.0
135, 1, 2, 0.99
136, 1, 1, 0.236
137, 1, 1, 0.0
138, 1, 1, 0.001
139, 2, 2, 0.945
140, 2, 1, 0.03
141, 2, 2, 0.995
142, 2, 2, 1.0
143, 2, 2, 1.0
144, 2, 2, 0.947
145, 2, 2, 0.999
146, 2, 2, 0.794
147, 2, 2, 0.998
148, 2, 2, 0.767
149, 2, 2, 0.965
150, 2, 2, 0.982
151, 2, 2, 0.965
152, 2, 2, 0.999
153, 2, 2, 0.962
154, 2, 2, 0.825
155, 1, 1, 0.047
156, 1, 1, 0.0
157, 1, 1, 0.0
158, 1, 1, 0.398
159, 1, 1, 0.01
160, 1, 1, 0.001
161, 1, 1, 0.024
162, 1, 2, 0.96
163, 1, 1, 0.0
164, 1, 2, 0.624
165, 1, 1, 0.003
166, 1, 1, 0.058
167, 1, 1, 0.0
168, 1, 1, 0.0
169, 2, 2, 0.999
170, 2, 2, 1.0
171, 2, 1, 0.287
172, 2, 2, 0.987
173, 2, 2, 0.997
174, 2, 2, 0.987
175, 2, 2, 0.997
176, 2, 1, 0.276
177, 2, 2, 0.999
178, 2, 2, 0.984
179, 2, 1, 0.011
180, 2, 1, 0.0
181, 2, 2, 1.0
182, 2, 1, 0.048
183, 2, 2, 0.89
184, 2, 2, 0.999
185, 1, 1, 0.0
186, 1, 1, 0.497
187, 1, 1, 0.004
188, 1, 1, 0.0
189, 1, 2, 0.662
190, 1, 1, 0.001
191, 1, 1, 0.008
192, 1, 1, 0.01
