ID, Actual class, Resub pred, Pred Prob
-----------------------------
1, 2, 2, 0.968
2, 2, 2, 0.889
3, 2, 2, 0.957
4, 2, 2, 0.805
5, 2, 2, 0.786
6, 2, 2, 0.747
7, 2, 2, 0.8
8, 2, 2, 0.918
9, 2, 2, 0.902
10, 2, 2, 0.729
11, 2, 2, 0.895
12, 2, 2, 0.96
13, 2, 2, 0.92
14, 2, 2, 0.683
15, 2, 2, 0.868
16, 2, 2, 0.789
17, 2, 2, 0.916
18, 2, 1, 0.08
19, 2, 2, 0.954
20, 2, 2, 0.798
21, 2, 2, 0.955
22, 2, 2, 0.96
23, 2, 1, 0.387
24, 2, 2, 0.993
25, 2, 2, 0.921
26, 2, 2, 0.893
27, 2, 2, 0.746
28, 2, 2, 0.854
29, 2, 2, 0.624
30, 2, 2, 0.67
31, 2, 2, 0.925
32, 2, 2, 0.831
33, 2, 2, 0.95
34, 2, 1, 0.423
35, 2, 2, 0.821
36, 2, 2, 0.744
37, 1, 1, 0.178
38, 1, 2, 0.7
39, 1, 2, 0.744
40, 1, 1, 0.216
41, 1, 1, 0.313
42, 1, 2, 0.692
43, 1, 1, 0.465
44, 1, 2, 0.678
45, 1, 2, 0.761
46, 1, 1, 0.213
47, 1, 2, 0.733
48, 1, 2, 0.619
49, 1, 1, 0.376
50, 1, 1, 0.291
51, 1, 2, 0.508
52, 1, 2, 0.926
53, 1, 2, 0.845
54, 1, 1, 0.241
55, 2, 2, 0.993
56, 2, 2, 0.71
57, 2, 2, 0.95
58, 2, 2, 0.788
59, 2, 2, 0.76
60, 2, 2, 0.729
61, 2, 2, 0.691
62, 2, 2, 0.957
63, 2, 2, 0.888
64, 2, 2, 0.902
65, 2, 1, 0.353
66, 2, 2, 0.981
67, 2, 2, 0.879
68, 2, 2, 0.927
69, 2, 2, 0.626
70, 2, 2, 0.927
71, 2, 2, 0.955
72, 2, 2, 0.949
73, 2, 2, 0.954
74, 2, 2, 0.979
75, 2, 2, 0.949
76, 2, 2, 0.793
77, 2, 1, 0.265
78, 2, 2, 0.98
79, 2, 1, 0.402
80, 2, 2, 0.823
81, 2, 2, 0.915
82, 2, 2, 0.907
83, 2, 2, 0.985
84, 2, 2, 0.605
85, 2, 2, 0.911
86, 2, 2, 0.941
87, 2, 1, 0.322
88, 2, 2, 0.78
89, 2, 1, 0.443
90, 2, 2, 0.921
91, 1, 1, 0.083
92, 1, 2, 0.768
93, 1, 1, 0.124
94, 1, 2, 0.858
95, 1, 2, 0.789
96, 1, 1, 0.036
97, 1, 1, 0.286
98, 1, 1, 0.47
99, 1, 2, 0.58
100, 1, 1, 0.003
101, 1, 1, 0.158
102, 1, 1, 0.192
103, 1, 1, 0.112
104, 1, 1, 0.052
105, 1, 2, 0.883
106, 1, 2, 0.714
107, 1, 1, 0.243
108, 1, 1, 0.039
109, 2, 2, 0.976
110, 2, 2, 0.909
111, 2, 2, 0.951
112, 2, 2, 0.856
113, 2, 2, 0.812
114, 2, 2, 0.882
115, 2, 2, 0.952
116, 2, 2, 0.847
117, 2, 2, 0.969
118, 2, 2, 0.977
119, 2, 2, 0.958
120, 2, 2, 0.676
121, 2, 2, 0.961
122, 2, 2, 0.928
123, 2, 1, 0.497
124, 2, 2, 0.963
125, 2, 2, 0.991
126, 2, 1, 0.399
127, 2, 2, 0.964
128, 2, 1, 0.385
129, 2, 2, 0.976
130, 2, 2, 0.887
131, 2, 2, 0.926
132, 2, 2, 0.909
133, 2, 2, 0.809
134, 2, 2, 0.972
135, 2, 1, 0.354
136, 2, 2, 0.981
137, 2, 2, 0.854
138, 2, 2, 0.962
139, 2, 2, 0.956
140, 2, 2, 0.77
141, 2, 2, 0.824
142, 2, 2, 0.88
143, 2, 2, 0.571
144, 2, 2, 0.936
145, 1, 2, 0.644
146, 1, 1, 0.252
147, 1, 1, 0.339
148, 1, 2, 0.866
149, 1, 1, 0.418
150, 1, 1, 0.39
151, 1, 1, 0.182
152, 1, 2, 0.563
153, 1, 1, 0.019
154, 1, 2, 0.768
155, 1, 2, 0.88
156, 1, 2, 0.748
157, 1, 2, 0.856
158, 1, 1, 0.302
159, 1, 1, 0.037
160, 1, 2, 0.697
161, 1, 1, 0.141
162, 1, 1, 0.396
163, 2, 2, 0.856
164, 2, 2, 0.895
165, 2, 2, 0.948
166, 2, 2, 0.695
167, 2, 2, 0.977
168, 2, 2, 0.9
169, 2, 2, 0.76
170, 2, 2, 0.888
171, 2, 2, 0.991
172, 2, 2, 0.962
173, 2, 2, 0.925
174, 2, 2, 0.876
175, 2, 2, 0.886
176, 2, 2, 0.835
177, 2, 2, 0.909
178, 2, 2, 0.85
179, 2, 2, 0.882
180, 2, 2, 0.645
181, 2, 1, 0.005
182, 2, 2, 0.896
183, 2, 2, 0.654
184, 2, 2, 0.944
185, 2, 2, 0.729
186, 2, 2, 0.867
187, 2, 2, 0.976
188, 2, 2, 0.984
189, 2, 2, 0.973
190, 2, 2, 0.66
191, 2, 2, 0.865
192, 2, 2, 0.872
193, 2, 2, 0.965
194, 2, 2, 0.885
195, 2, 2, 0.896
196, 2, 2, 0.988
197, 2, 2, 0.903
198, 2, 2, 0.783
199, 1, 1, 0.275
200, 1, 2, 0.803
201, 1, 1, 0.092
202, 1, 2, 0.754
203, 1, 1, 0.337
204, 1, 1, 0.166
205, 1, 2, 0.615
206, 1, 1, 0.077
207, 1, 2, 0.507
208, 1, 2, 0.876
209, 1, 2, 0.738
210, 1, 1, 0.031
211, 1, 1, 0.05
212, 1, 1, 0.064
213, 1, 1, 0.171
214, 1, 1, 0.413
215, 1, 2, 0.513
216, 1, 1, 0.057
217, 2, 2, 0.986
218, 2, 2, 0.531
219, 2, 2, 0.978
220, 2, 2, 0.98
221, 2, 2, 0.969
222, 2, 2, 0.747
223, 2, 2, 0.966
224, 2, 2, 0.882
225, 2, 2, 0.62
226, 2, 2, 0.974
227, 2, 2, 0.98
228, 2, 1, 0.258
229, 2, 2, 0.951
230, 2, 2, 0.906
231, 2, 2, 0.874
232, 2, 2, 0.939
233, 2, 2, 0.944
234, 2, 2, 0.924
235, 2, 2, 0.976
236, 2, 2, 0.886
237, 2, 2, 0.986
238, 2, 2, 0.595
239, 2, 2, 0.879
240, 2, 2, 0.784
241, 2, 2, 0.964
242, 2, 2, 0.557
243, 2, 2, 0.552
244, 2, 2, 0.961
245, 2, 2, 0.951
246, 2, 2, 0.679
247, 2, 2, 0.727
248, 2, 2, 0.994
249, 2, 2, 0.911
250, 2, 2, 0.98
251, 2, 2, 0.938
252, 2, 2, 0.501

Confusion Matrix (Resubstitution) 
 ----------------------------------
    1    2
1  41   31
2  14  166

Model Summary (Resubstitution)
------------------------------
Overall accuracy = .821
Sensitivity = .922
Specificity = .569


ID, Actual class, Test pred, Pred Prob
-----------------------------
1, 1, 2, 0.639
2, 1, 1, 0.082
3, 1, 1, 0.072
4, 1, 1, 0.238
5, 1, 2, 0.507
6, 1, 2, 0.968
7, 1, 2, 0.823
8, 1, 2, 0.669
9, 1, 1, 0.031
10, 1, 2, 0.891
11, 1, 1, 0.159
12, 1, 2, 0.619
13, 1, 1, 0.455
14, 1, 1, 0.142
15, 1, 2, 0.637
16, 1, 2, 0.863
17, 1, 2, 0.728
18, 1, 2, 0.94
19, 2, 1, 0.349
20, 2, 2, 0.95
21, 2, 2, 0.98
22, 2, 1, 0.472
23, 2, 2, 0.531
24, 2, 2, 0.954
25, 2, 2, 0.949
26, 2, 2, 0.939
27, 2, 2, 0.813
28, 2, 2, 0.632
29, 2, 2, 0.907
30, 2, 2, 0.839
31, 2, 2, 0.844
32, 2, 1, 0.285
33, 2, 2, 0.978
34, 2, 2, 0.933
35, 2, 2, 0.612
36, 2, 2, 0.826
37, 2, 2, 0.969
38, 2, 2, 0.79
39, 2, 2, 0.949
40, 2, 2, 0.952
41, 2, 1, 0.304
42, 2, 2, 0.98
43, 2, 1, 0.282
44, 2, 2, 0.967
45, 2, 2, 0.955
46, 2, 2, 0.75
47, 2, 2, 0.723
48, 2, 2, 0.535
49, 2, 2, 0.547
50, 2, 2, 0.713
51, 2, 2, 0.943
52, 2, 2, 0.864
53, 2, 2, 0.958
54, 2, 2, 0.989
55, 1, 1, 0.419
56, 1, 2, 0.744
57, 1, 2, 0.624
58, 1, 2, 0.727
59, 1, 2, 0.594
60, 1, 2, 0.779
61, 1, 1, 0.187
62, 1, 1, 0.182
63, 1, 1, 0.053
64, 1, 1, 0.393
65, 1, 1, 0.171
66, 1, 1, 0.406
67, 1, 2, 0.625
68, 1, 2, 0.66
69, 1, 2, 0.86
70, 1, 1, 0.053
71, 1, 2, 0.553
72, 1, 1, 0.3
73, 2, 2, 0.985
74, 2, 2, 0.953
75, 2, 2, 0.951
76, 2, 2, 0.7
77, 2, 2, 0.926
78, 2, 2, 0.812
79, 2, 2, 0.755
80, 2, 2, 0.923
81, 2, 2, 0.813
82, 2, 2, 0.911
83, 2, 2, 0.97
84, 2, 2, 0.993
85, 2, 2, 0.54
86, 2, 1, 0.026
87, 2, 1, 0.179
88, 2, 2, 0.764
89, 2, 2, 0.923
90, 2, 2, 0.982
91, 2, 2, 0.903
92, 2, 2, 0.796
93, 2, 2, 0.61
94, 2, 2, 0.957
95, 2, 2, 0.98
96, 2, 2, 0.971
97, 2, 1, 0.34
98, 2, 2, 0.793
99, 2, 2, 0.957
100, 2, 2, 0.947
101, 2, 2, 0.914
102, 2, 2, 0.826
103, 2, 2, 0.966
104, 2, 2, 0.953
105, 2, 1, 0.478
106, 2, 2, 0.976
107, 2, 2, 0.98
108, 2, 2, 0.912
109, 1, 1, 0.055
110, 1, 1, 0.368
111, 1, 1, 0.232
112, 1, 1, 0.296
113, 1, 2, 0.969
114, 1, 1, 0.146
115, 1, 2, 0.689
116, 1, 2, 0.571
117, 1, 1, 0.398
118, 1, 1, 0.291
119, 1, 1, 0.011
120, 1, 2, 0.623
121, 1, 1, 0.124
122, 1, 1, 0.2
123, 1, 1, 0.11
124, 1, 2, 0.593
125, 1, 1, 0.203
126, 1, 1, 0.286
127, 2, 2, 0.785
128, 2, 2, 0.906
129, 2, 2, 0.504
130, 2, 2, 0.947
131, 2, 2, 0.897
132, 2, 2, 0.983
133, 2, 2, 0.934
134, 2, 2, 0.614
135, 2, 2, 0.975
136, 2, 2, 0.882
137, 2, 2, 0.908
138, 2, 2, 0.744
139, 2, 2, 0.938
140, 2, 2, 0.606
141, 2, 1, 0.454
142, 2, 2, 0.867
143, 2, 2, 0.84
144, 2, 2, 0.959
145, 2, 2, 0.879
146, 2, 2, 0.883
147, 2, 2, 0.967
148, 2, 2, 0.974
149, 2, 2, 0.986
150, 2, 2, 0.902
151, 2, 2, 0.915
152, 2, 2, 0.982
153, 2, 2, 0.797
154, 2, 2, 0.979
155, 2, 2, 0.941
156, 2, 2, 0.982
157, 2, 1, 0.2
158, 2, 2, 0.929
159, 2, 2, 0.938
160, 2, 2, 0.665
161, 2, 2, 0.89
162, 2, 2, 0.944
163, 1, 1, 0.392
164, 1, 1, 0.496
165, 1, 2, 0.524
166, 1, 2, 0.922
167, 1, 1, 0.461
168, 1, 1, 0.032
169, 1, 2, 0.744
170, 1, 2, 0.913
171, 1, 2, 0.956
172, 1, 1, 0.165
173, 1, 2, 0.926
174, 1, 2, 0.509
175, 1, 1, 0.362
176, 1, 1, 0.099
177, 1, 2, 0.904
178, 1, 2, 0.878
179, 1, 2, 0.539
180, 1, 2, 0.709
181, 2, 2, 0.985
182, 2, 2, 0.97
183, 2, 2, 0.752
184, 2, 2, 0.948
185, 2, 2, 0.962
186, 2, 2, 0.788
187, 2, 2, 0.961
188, 2, 2, 0.916
189, 2, 2, 0.975
190, 2, 2, 0.815
191, 2, 2, 0.93
192, 2, 2, 0.913
193, 2, 2, 0.849
194, 2, 2, 0.962
195, 2, 2, 0.895
196, 2, 1, 0.2
197, 2, 2, 0.834
198, 2, 2, 0.859
199, 2, 1, 0.409
200, 2, 2, 0.772
201, 2, 2, 0.991
202, 2, 2, 0.988
203, 2, 1, 0.241
204, 2, 2, 0.606
205, 2, 2, 0.925
206, 2, 2, 0.918
207, 2, 2, 0.924
208, 2, 1, 0.38
209, 2, 2, 0.916
210, 2, 2, 0.96
211, 2, 1, 0.446
212, 1, 2, 0.78
213, 1, 2, 0.906
214, 1, 1, 0.259
215, 1, 1, 0.202
216, 1, 1, 0.441
217, 1, 2, 0.874
218, 1, 1, 0.118
219, 1, 2, 0.698
220, 1, 2, 0.84
221, 1, 2, 0.585
222, 1, 2, 0.668
223, 1, 1, 0.27
224, 1, 1, 0.271
225, 1, 2, 0.765
226, 1, 1, 0.403
ID, Actual class, Test pred
-----------------------------
1, 1.0, 2
2, 1.0, 1
3, 1.0, 1
4, 1.0, 1
5, 1.0, 2
6, 1.0, 2
7, 1.0, 2
8, 1.0, 2
9, 1.0, 1
10, 1.0, 2
11, 1.0, 1
12, 1.0, 2
13, 1.0, 1
14, 1.0, 1
15, 1.0, 2
16, 1.0, 2
17, 1.0, 2
18, 1.0, 2
19, 2.0, 1
20, 2.0, 2
21, 2.0, 2
22, 2.0, 1
23, 2.0, 2
24, 2.0, 2
25, 2.0, 2
26, 2.0, 2
27, 2.0, 2
28, 2.0, 2
29, 2.0, 2
30, 2.0, 2
31, 2.0, 2
32, 2.0, 1
33, 2.0, 2
34, 2.0, 2
35, 2.0, 2
36, 2.0, 2
37, 2.0, 2
38, 2.0, 2
39, 2.0, 2
40, 2.0, 2
41, 2.0, 1
42, 2.0, 2
43, 2.0, 1
44, 2.0, 2
45, 2.0, 2
46, 2.0, 2
47, 2.0, 2
48, 2.0, 2
49, 2.0, 2
50, 2.0, 2
51, 2.0, 2
52, 2.0, 2
53, 2.0, 2
54, 2.0, 2
55, 1.0, 1
56, 1.0, 2
57, 1.0, 2
58, 1.0, 2
59, 1.0, 2
60, 1.0, 2
61, 1.0, 1
62, 1.0, 1
63, 1.0, 1
64, 1.0, 1
65, 1.0, 1
66, 1.0, 1
67, 1.0, 2
68, 1.0, 2
69, 1.0, 2
70, 1.0, 1
71, 1.0, 2
72, 1.0, 1
73, 2.0, 2
74, 2.0, 2
75, 2.0, 2
76, 2.0, 2
77, 2.0, 2
