ID, Actual class, Resub pred, Pred Prob
-----------------------------
1, 2, 2, 0.979
2, 2, 2, 0.896
3, 2, 2, 0.999
4, 2, 2, 0.92
5, 2, 2, 0.802
6, 2, 2, 0.784
7, 2, 2, 0.59
8, 2, 2, 0.976
9, 2, 2, 0.963
10, 2, 1, 0.271
11, 2, 2, 0.968
12, 2, 2, 0.998
13, 2, 2, 0.991
14, 2, 2, 0.849
15, 2, 2, 0.936
16, 2, 1, 0.322
17, 2, 2, 0.966
18, 2, 1, 0.001
19, 2, 2, 0.987
20, 2, 2, 0.733
21, 2, 2, 0.981
22, 2, 2, 0.997
23, 2, 1, 0.099
24, 2, 2, 0.999
25, 2, 2, 0.992
26, 2, 2, 0.984
27, 2, 1, 0.445
28, 2, 2, 0.912
29, 2, 1, 0.116
30, 2, 2, 0.869
31, 2, 2, 0.947
32, 2, 2, 0.919
33, 2, 2, 0.979
34, 2, 1, 0.163
35, 2, 2, 0.931
36, 2, 2, 0.666
37, 1, 1, 0.074
38, 1, 2, 0.545
39, 1, 2, 0.807
40, 1, 1, 0.17
41, 1, 1, 0.038
42, 1, 2, 0.867
43, 1, 1, 0.016
44, 1, 2, 0.769
45, 1, 2, 0.917
46, 1, 1, 0.077
47, 1, 2, 0.575
48, 1, 2, 0.595
49, 1, 1, 0.221
50, 1, 1, 0.113
51, 1, 1, 0.301
52, 1, 2, 0.994
53, 1, 2, 0.71
54, 1, 1, 0.01
55, 2, 2, 0.999
56, 2, 2, 0.829
57, 2, 2, 0.887
58, 2, 2, 0.871
59, 2, 2, 0.514
60, 2, 2, 0.834
61, 2, 1, 0.35
62, 2, 2, 0.959
63, 2, 2, 0.967
64, 2, 2, 0.992
65, 2, 1, 0.309
66, 2, 2, 0.999
67, 2, 2, 0.954
68, 2, 2, 0.951
69, 2, 1, 0.443
70, 2, 2, 0.991
71, 2, 2, 0.98
72, 2, 2, 0.953
73, 2, 2, 0.998
74, 2, 2, 0.996
75, 2, 2, 0.969
76, 2, 2, 0.678
77, 2, 1, 0.153
78, 2, 2, 0.995
79, 2, 1, 0.363
80, 2, 2, 0.972
81, 2, 2, 0.971
82, 2, 2, 0.987
83, 2, 2, 0.995
84, 2, 1, 0.483
85, 2, 2, 0.988
86, 2, 2, 0.98
87, 2, 1, 0.086
88, 2, 2, 0.927
89, 2, 1, 0.371
90, 2, 2, 0.887
91, 1, 1, 0.023
92, 1, 2, 0.838
93, 1, 1, 0.003
94, 1, 2, 0.956
95, 1, 1, 0.31
96, 1, 1, 0.001
97, 1, 1, 0.135
98, 1, 2, 0.641
99, 1, 1, 0.322
100, 1, 1, 0
101, 1, 1, 0.087
102, 1, 1, 0.006
103, 1, 1, 0.017
104, 1, 1, 0
105, 1, 2, 0.926
106, 1, 2, 0.871
107, 1, 1, 0.154
108, 1, 1, 0.002
109, 2, 2, 0.993
110, 2, 2, 0.987
111, 2, 2, 0.943
112, 2, 2, 0.861
113, 2, 2, 0.918
114, 2, 1, 0.376
115, 2, 2, 0.978
116, 2, 2, 0.909
117, 2, 2, 0.997
118, 2, 2, 0.988
119, 2, 2, 0.994
120, 2, 1, 0.34
121, 2, 2, 0.99
122, 2, 2, 0.973
123, 2, 1, 0.356
124, 2, 2, 0.994
125, 2, 2, 0.997
126, 2, 1, 0.451
127, 2, 2, 0.992
128, 2, 1, 0.014
129, 2, 2, 0.974
130, 2, 2, 0.96
131, 2, 2, 0.993
132, 2, 2, 0.976
133, 2, 1, 0.38
134, 2, 2, 0.994
135, 2, 2, 0.573
136, 2, 2, 0.997
137, 2, 2, 0.947
138, 2, 2, 0.992
139, 2, 2, 0.994
140, 2, 2, 0.531
141, 2, 2, 0.942
142, 2, 2, 0.98
143, 2, 2, 0.604
144, 2, 2, 0.981
145, 1, 2, 0.826
146, 1, 1, 0.079
147, 1, 1, 0.224
148, 1, 2, 0.787
149, 1, 2, 0.614
150, 1, 1, 0.286
151, 1, 1, 0.051
152, 1, 2, 0.571
153, 1, 1, 0
154, 1, 2, 0.932
155, 1, 2, 0.966
156, 1, 2, 0.729
157, 1, 2, 0.925
158, 1, 1, 0.141
159, 1, 1, 0.001
160, 1, 2, 0.854
161, 1, 1, 0.067
162, 1, 1, 0.171
163, 2, 2, 0.924
164, 2, 2, 0.933
165, 2, 2, 0.997
166, 2, 2, 0.844
167, 2, 2, 0.975
168, 2, 2, 0.85
169, 2, 2, 0.97
170, 2, 2, 0.963
171, 2, 2, 0.999
172, 2, 2, 0.995
173, 2, 2, 0.849
174, 2, 2, 0.871
175, 2, 2, 0.944
176, 2, 2, 0.972
177, 2, 2, 0.857
178, 2, 2, 0.951
179, 2, 2, 0.983
180, 2, 2, 0.676
181, 2, 1, 0
182, 2, 2, 0.97
183, 2, 1, 0.441
184, 2, 2, 0.983
185, 2, 2, 0.904
186, 2, 2, 0.968
187, 2, 2, 0.997
188, 2, 2, 0.995
189, 2, 2, 0.994
190, 2, 1, 0.04
191, 2, 2, 0.995
192, 2, 2, 0.941
193, 2, 2, 0.998
194, 2, 2, 0.961
195, 2, 2, 0.849
196, 2, 2, 0.996
197, 2, 2, 0.973
198, 2, 2, 0.896
199, 1, 1, 0.09
200, 1, 2, 0.797
201, 1, 1, 0.011
202, 1, 2, 0.907
203, 1, 1, 0.043
204, 1, 1, 0.018
205, 1, 1, 0.493
206, 1, 1, 0.008
207, 1, 1, 0.15
208, 1, 2, 0.969
209, 1, 2, 0.851
210, 1, 1, 0
211, 1, 1, 0.01
212, 1, 1, 0.003
213, 1, 1, 0.03
214, 1, 1, 0.348
215, 1, 1, 0.207
216, 1, 1, 0.043
217, 2, 2, 0.997
218, 2, 1, 0.106
219, 2, 2, 0.992
220, 2, 2, 0.984
221, 2, 2, 0.996
222, 2, 2, 0.592
223, 2, 2, 0.996
224, 2, 2, 0.957
225, 2, 1, 0.469
226, 2, 2, 0.996
227, 2, 2, 0.996
228, 2, 1, 0.028
229, 2, 2, 0.996
230, 2, 2, 0.953
231, 2, 2, 0.937
232, 2, 2, 0.982
233, 2, 2, 0.983
234, 2, 2, 0.944
235, 2, 2, 0.972
236, 2, 2, 0.982
237, 2, 2, 0.998
238, 2, 2, 0.764
239, 2, 2, 0.934
240, 2, 1, 0.457
241, 2, 2, 0.997
242, 2, 1, 0.047
243, 2, 2, 0.544
244, 2, 2, 0.995
245, 2, 2, 0.991
246, 2, 2, 0.927
247, 2, 2, 0.773
248, 2, 2, 0.999
249, 2, 1, 0.335
250, 2, 2, 0.994
251, 2, 2, 0.937
252, 2, 2, 0.577

Confusion Matrix (Resubstitution) 
 ---------------------------------- 
   1   2
1 45  27
2 30 150

Model Summary (Resubstitution)
------------------------------
Overall accuracy = .774
Sensitivity = .833
Specificity = .625

ID, Actual class, Test pred, Pred Prob
-----------------------------
1, 1, 2, 0.531
2, 1, 1, 0.013
3, 1, 1, 0.004
4, 1, 1, 0.329
5, 1, 1, 0.154
6, 1, 2, 0.972
7, 1, 2, 0.649
8, 1, 1, 0.37
9, 1, 1, 0.001
10, 1, 2, 0.872
11, 1, 1, 0.116
12, 1, 1, 0.063
13, 1, 1, 0.414
14, 1, 1, 0.01
15, 1, 1, 0.406
16, 1, 2, 0.97
17, 1, 2, 0.791
18, 1, 2, 0.969
19, 2, 1, 0.091
20, 2, 2, 0.977
21, 2, 2, 0.997
22, 2, 1, 0.097
23, 2, 1, 0.268
24, 2, 2, 0.985
25, 2, 2, 0.987
26, 2, 2, 0.987
27, 2, 2, 0.783
28, 2, 2, 0.815
29, 2, 2, 0.993
30, 2, 2, 0.858
31, 2, 2, 0.892
32, 2, 2, 0.524
33, 2, 2, 0.99
34, 2, 2, 0.992
35, 2, 2, 0.872
36, 2, 2, 0.982
37, 2, 2, 0.988
38, 2, 1, 0.445
39, 2, 2, 0.99
40, 2, 2, 0.951
41, 2, 1, 0.082
42, 2, 2, 0.993
43, 2, 1, 0.22
44, 2, 2, 0.994
45, 2, 2, 0.989
46, 2, 2, 0.802
47, 2, 2, 0.775
48, 2, 1, 0.295
49, 2, 2, 0.527
50, 2, 1, 0.161
51, 2, 2, 0.96
52, 2, 2, 0.906
53, 2, 2, 0.905
54, 2, 2, 0.998
55, 1, 1, 0.039
56, 1, 2, 0.916
57, 1, 2, 0.858
58, 1, 2, 0.779
59, 1, 2, 0.667
60, 1, 2, 0.888
61, 1, 1, 0.006
62, 1, 1, 0.098
63, 1, 1, 0.004
64, 1, 1, 0.064
65, 1, 1, 0.052
66, 1, 1, 0.125
67, 1, 2, 0.8
68, 1, 2, 0.506
69, 1, 2, 0.939
70, 1, 1, 0.001
71, 1, 1, 0.28
72, 1, 1, 0.455
73, 2, 2, 0.996
74, 2, 2, 0.993
75, 2, 2, 0.988
76, 2, 2, 0.739
77, 2, 2, 0.971
78, 2, 2, 0.814
79, 2, 2, 0.61
80, 2, 2, 0.925
81, 2, 2, 0.957
82, 2, 2, 0.98
83, 2, 2, 0.994
84, 2, 2, 0.997
85, 2, 1, 0.48
86, 2, 1, 0
87, 2, 1, 0.123
88, 2, 2, 0.84
89, 2, 2, 0.977
90, 2, 2, 0.996
91, 2, 2, 0.968
92, 2, 2, 0.731
93, 2, 2, 0.607
94, 2, 2, 0.993
95, 2, 2, 0.994
96, 2, 2, 0.995
97, 2, 1, 0.063
98, 2, 2, 0.98
99, 2, 2, 0.991
100, 2, 2, 0.981
101, 2, 2, 0.975
102, 2, 2, 0.947
103, 2, 2, 0.996
104, 2, 2, 0.979
105, 2, 1, 0.161
106, 2, 2, 0.997
107, 2, 2, 0.919
108, 2, 2, 0.981
109, 1, 1, 0.008
110, 1, 1, 0.377
111, 1, 1, 0.192
112, 1, 1, 0.096
113, 1, 2, 0.993
114, 1, 1, 0.02
115, 1, 1, 0.379
116, 1, 2, 0.545
117, 1, 1, 0.192
